Image Number,Tract,Visit,Patch,xcoord,ycoord,ccdnum,Catalog ID
0,0,303601,25,225.814912455,98.684397753,10,130395679552962672
1,0,303601,25,1403.06188839,120.80032618,10,130395679552962673
2,0,303601,25,1516.43909008,1003.78027699,10,130395679552962686
3,0,303601,25,65.1802036606,1104.33569582,10,130395679552962689
4,0,303601,25,833.966665819,1123.72955095,10,130395679552962690
5,0,303601,25,1738.0307624,1121.59838067,10,130395679552962691
6,0,303601,25,946.939032402,1242.380248,10,130395679552962694
7,0,303601,25,1088.03760533,1301.20129008,10,130395679552962696
8,0,303601,25,1336.35339993,1581.76940353,10,130395679552962701
9,0,303601,25,1873.65148361,1588.08288485,10,130395679552962702
10,0,303601,25,584.127073084,1656.68823682,10,130395679552962703
11,0,303601,25,1900.57419337,1729.02633985,10,130395679552962705
12,0,303601,25,1631.44185425,1759.19937218,10,130395679552962706
13,0,303601,25,88.7228844838,1777.024061,10,130395679552962708
14,0,303601,25,1957.73546757,2173.758063,10,130395679552962711
15,0,303601,25,1308.73950446,2208.51391474,10,130395679552962712
16,0,303601,25,272.458757447,2314.01197155,10,130395679552962713
17,0,303601,25,1651.79344968,2437.37281197,10,130395679552962716
18,0,303601,25,1861.13793165,2595.25611405,10,130395679552962718
19,0,303601,25,73.7444537615,2715.92896487,10,130395679552962719
20,0,303601,25,1003.69440147,2799.76195568,10,130395679552962721
21,0,303601,25,1913.87059958,2960.39527181,10,130395679552962724
22,0,303601,25,1444.39771683,3025.64687859,10,130395679552962726
23,0,303601,25,1715.61912929,3038.77125296,10,130395679552962727
24,0,303601,25,42.5551426656,3091.82749572,10,130395679552962729
25,0,303601,25,795.938666651,3205.00145462,10,130395679552962731
26,0,303601,25,1744.47620688,3246.75136936,10,130395679552962732
27,0,303601,25,1168.9273619,3257.21826428,10,130395679552962733
28,0,303601,25,1795.82005797,3290.98584985,10,130395679552962735
29,0,303601,25,488.834491004,3363.11570942,10,130395679552962737
30,0,303601,25,104.921753704,3654.07568125,10,130395679552962741
31,0,303601,25,430.439405849,3695.83251218,10,130395679552962742
32,0,303601,25,406.644916523,3711.87645554,10,130395679552962743
33,0,303601,25,1094.15709419,3718.29102344,10,130395679552962744
34,0,303601,25,115.524903116,3951.63946895,10,130395679552962748
35,0,303589,25,251.642543586,106.686711734,10,130390525592207453
36,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
37,0,303589,25,838.104239313,811.068975809,10,130390525592207464
38,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
39,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
40,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
41,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
42,0,303589,25,1784.04127028,1581.10949377,10,130390525592207482
43,0,303589,25,1655.02055303,1766.97594867,10,130390525592207484
44,0,303589,25,1759.21863419,1887.16979656,10,130390525592207486
45,0,303589,25,453.053887086,2054.96679183,10,130390525592207488
46,0,303589,25,102.974339908,2752.84472969,10,130390525592207493
47,0,303589,25,1469.05457643,3032.99512353,10,130390525592207498
48,0,303589,25,1115.34032768,3048.61157883,10,130390525592207499
49,0,303589,25,837.907381817,3238.01831525,10,130390525592207502
50,0,303589,25,1519.02076676,3259.7780814,10,130390525592207503
51,0,303589,25,1816.97606522,3298.85815972,10,130390525592207504
52,0,303589,25,511.575578528,3368.47676861,10,130390525592207506
53,0,303589,25,140.938603128,3685.9387178,10,130390525592207511
54,0,303589,25,453.818350916,3701.68452434,10,130390525592207512
55,0,303589,25,142.044787483,3957.78954608,10,130390525592207516
56,0,303589,25,1467.13454689,4041.00316288,10,130390525592207518
57,0,303597,25,243.640709874,101.605169338,10,130393961566044255
58,0,303597,25,1422.33676526,133.171268578,10,130393961566044256
59,0,303597,25,1102.1687112,611.530561853,10,130393961566044264
60,0,303597,25,828.949161593,806.770186898,10,130393961566044267
61,0,303597,25,82.9669799378,1106.63683407,10,130393961566044273
62,0,303597,25,851.953737568,1127.21788154,10,130393961566044274
63,0,303597,25,1107.91078715,1303.73716364,10,130393961566044278
64,0,303597,25,1653.34705997,1371.40280681,10,130393961566044279
65,0,303597,25,104.17157047,1779.26978632,10,130393961566044286
66,0,303597,25,367.787313619,2422.05201443,10,130393961566044291
67,0,303597,25,91.794071715,2728.06836593,10,130393961566044293
68,0,303597,25,126.930313857,2800.30517868,10,130393961566044295
69,0,303597,25,1017.8409955,2802.04345048,10,130393961566044296
70,0,303597,25,1929.99118664,2963.24097051,10,130393961566044299
71,0,303597,25,1460.97889142,3029.0048768,10,130393961566044301
72,0,303597,25,1731.11887855,3040.37646532,10,130393961566044302
73,0,303597,25,1107.96023947,3042.57636176,10,130393961566044303
74,0,303597,25,59.2885338012,3093.52985506,10,130393961566044305
75,0,303597,25,818.012480891,3215.9389526,10,130393961566044307
76,0,303597,25,1185.14270439,3260.12890302,10,130393961566044308
77,0,303597,25,506.655419284,3365.72409328,10,130393961566044310
78,0,303597,25,125.02648802,3664.09862666,10,130393961566044315
79,0,303597,25,283.037734299,3720.08664878,10,130393961566044316
80,0,303597,25,1110.80200362,3720.47120785,10,130393961566044317
81,0,303585,25,1423.0782412,172.072091686,10,130388807605289036
82,0,303585,25,1100.11084022,1316.83274619,10,130388807605289054
83,0,303585,25,1882.58679383,1599.21886291,10,130388807605289059
84,0,303585,25,1871.07188957,2605.26026836,10,130388807605289067
85,0,303585,25,88.9338672706,2765.01730257,10,130388807605289068
86,0,303585,25,1724.908074,3048.89331264,10,130388807605289073
87,0,303585,25,827.90221599,3250.00219407,10,130388807605289076
88,0,303585,25,129.100252018,3697.00489396,10,130388807605289083
89,0,303585,25,122.342858199,3962.04204717,10,130388807605289087
90,0,303593,25,255.437562699,106.777284839,10,130392243579125847
91,0,303593,25,1437.99729444,148.900757147,10,130392243579125849
92,0,303593,25,842.985180723,812.70714957,10,130392243579125859
93,0,303593,25,1544.99424094,1009.15582299,10,130392243579125863
94,0,303593,25,862.073684939,1133.07298535,10,130392243579125865
95,0,303593,25,1664.30589453,1377.72862911,10,130392243579125869
96,0,303593,25,615.774358026,1662.63708399,10,130392243579125874
97,0,303593,25,1658.90994558,1767.22222969,10,130392243579125876
98,0,303593,25,301.679830281,2320.9572782,10,130392243579125880
99,0,303593,25,1890.78149054,2603.74439835,10,130392243579125884
100,0,303593,25,105.031429646,2742.90427203,10,130392243579125885
101,0,303593,25,1472.8971067,3033.92944826,10,130392243579125890
102,0,303593,25,1743.93921506,3045.96069701,10,130392243579125891
103,0,303593,25,71.7762101394,3097.43013939,10,130392243579125893
104,0,303593,25,835.932603006,3229.97583906,10,130392243579125895
105,0,303593,25,1195.00903781,3266.64087898,10,130392243579125896
106,0,303593,25,1823.09872244,3298.05800526,10,130392243579125897
107,0,303593,25,140.988253986,3678.01684607,10,130392243579125903
108,0,303593,25,1122.49590242,3722.92863534,10,130392243579125904
109,0,303601,25,225.814912455,98.684397753,10,130395679552962672
110,0,303601,25,1403.06188839,120.80032618,10,130395679552962673
111,0,303601,25,1516.43909008,1003.78027699,10,130395679552962686
112,0,303601,25,65.1802036606,1104.33569582,10,130395679552962689
113,0,303601,25,833.966665819,1123.72955095,10,130395679552962690
114,0,303601,25,1738.0307624,1121.59838067,10,130395679552962691
115,0,303601,25,946.939032402,1242.380248,10,130395679552962694
116,0,303601,25,1088.03760533,1301.20129008,10,130395679552962696
117,0,303601,25,1336.35339993,1581.76940353,10,130395679552962701
118,0,303601,25,1873.65148361,1588.08288485,10,130395679552962702
119,0,303601,25,584.127073084,1656.68823682,10,130395679552962703
120,0,303601,25,1900.57419337,1729.02633985,10,130395679552962705
121,0,303601,25,1631.44185425,1759.19937218,10,130395679552962706
122,0,303601,25,88.7228844838,1777.024061,10,130395679552962708
123,0,303601,25,1957.73546757,2173.758063,10,130395679552962711
124,0,303601,25,1308.73950446,2208.51391474,10,130395679552962712
125,0,303601,25,272.458757447,2314.01197155,10,130395679552962713
126,0,303601,25,1651.79344968,2437.37281197,10,130395679552962716
127,0,303601,25,1861.13793165,2595.25611405,10,130395679552962718
128,0,303601,25,73.7444537615,2715.92896487,10,130395679552962719
129,0,303601,25,1003.69440147,2799.76195568,10,130395679552962721
130,0,303601,25,1913.87059958,2960.39527181,10,130395679552962724
131,0,303601,25,1444.39771683,3025.64687859,10,130395679552962726
132,0,303601,25,1715.61912929,3038.77125296,10,130395679552962727
133,0,303601,25,42.5551426656,3091.82749572,10,130395679552962729
134,0,303601,25,795.938666651,3205.00145462,10,130395679552962731
135,0,303601,25,1744.47620688,3246.75136936,10,130395679552962732
136,0,303601,25,1168.9273619,3257.21826428,10,130395679552962733
137,0,303601,25,1795.82005797,3290.98584985,10,130395679552962735
138,0,303601,25,488.834491004,3363.11570942,10,130395679552962737
139,0,303601,25,104.921753704,3654.07568125,10,130395679552962741
140,0,303601,25,430.439405849,3695.83251218,10,130395679552962742
141,0,303601,25,406.644916523,3711.87645554,10,130395679552962743
142,0,303601,25,1094.15709419,3718.29102344,10,130395679552962744
143,0,303601,25,115.524903116,3951.63946895,10,130395679552962748
144,0,303589,25,251.642543586,106.686711734,10,130390525592207453
145,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
146,0,303589,25,838.104239313,811.068975809,10,130390525592207464
147,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
148,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
149,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
150,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
151,0,303589,25,1784.04127028,1581.10949377,10,130390525592207482
152,0,303589,25,1655.02055303,1766.97594867,10,130390525592207484
153,0,303589,25,1759.21863419,1887.16979656,10,130390525592207486
154,0,303589,25,453.053887086,2054.96679183,10,130390525592207488
155,0,303589,25,102.974339908,2752.84472969,10,130390525592207493
156,0,303589,25,1469.05457643,3032.99512353,10,130390525592207498
157,0,303589,25,1115.34032768,3048.61157883,10,130390525592207499
158,0,303589,25,837.907381817,3238.01831525,10,130390525592207502
159,0,303589,25,1519.02076676,3259.7780814,10,130390525592207503
160,0,303589,25,1816.97606522,3298.85815972,10,130390525592207504
161,0,303589,25,511.575578528,3368.47676861,10,130390525592207506
162,0,303589,25,140.938603128,3685.9387178,10,130390525592207511
163,0,303589,25,453.818350916,3701.68452434,10,130390525592207512
164,0,303589,25,142.044787483,3957.78954608,10,130390525592207516
165,0,303589,25,1467.13454689,4041.00316288,10,130390525592207518
166,0,303597,25,243.640709874,101.605169338,10,130393961566044255
167,0,303597,25,1422.33676526,133.171268578,10,130393961566044256
168,0,303597,25,1102.1687112,611.530561853,10,130393961566044264
169,0,303597,25,828.949161593,806.770186898,10,130393961566044267
170,0,303597,25,82.9669799378,1106.63683407,10,130393961566044273
171,0,303597,25,851.953737568,1127.21788154,10,130393961566044274
172,0,303597,25,1107.91078715,1303.73716364,10,130393961566044278
173,0,303597,25,1653.34705997,1371.40280681,10,130393961566044279
174,0,303597,25,104.17157047,1779.26978632,10,130393961566044286
175,0,303597,25,367.787313619,2422.05201443,10,130393961566044291
176,0,303597,25,91.794071715,2728.06836593,10,130393961566044293
177,0,303597,25,126.930313857,2800.30517868,10,130393961566044295
178,0,303597,25,1017.8409955,2802.04345048,10,130393961566044296
179,0,303597,25,1929.99118664,2963.24097051,10,130393961566044299
180,0,303597,25,1460.97889142,3029.0048768,10,130393961566044301
181,0,303597,25,1731.11887855,3040.37646532,10,130393961566044302
182,0,303597,25,1107.96023947,3042.57636176,10,130393961566044303
183,0,303597,25,59.2885338012,3093.52985506,10,130393961566044305
184,0,303597,25,818.012480891,3215.9389526,10,130393961566044307
185,0,303597,25,1185.14270439,3260.12890302,10,130393961566044308
186,0,303597,25,506.655419284,3365.72409328,10,130393961566044310
187,0,303597,25,125.02648802,3664.09862666,10,130393961566044315
188,0,303597,25,283.037734299,3720.08664878,10,130393961566044316
189,0,303597,25,1110.80200362,3720.47120785,10,130393961566044317
190,0,303585,25,1423.0782412,172.072091686,10,130388807605289036
191,0,303585,25,1100.11084022,1316.83274619,10,130388807605289054
192,0,303585,25,1882.58679383,1599.21886291,10,130388807605289059
193,0,303585,25,1871.07188957,2605.26026836,10,130388807605289067
194,0,303585,25,88.9338672706,2765.01730257,10,130388807605289068
195,0,303585,25,1724.908074,3048.89331264,10,130388807605289073
196,0,303585,25,827.90221599,3250.00219407,10,130388807605289076
197,0,303585,25,129.100252018,3697.00489396,10,130388807605289083
198,0,303585,25,122.342858199,3962.04204717,10,130388807605289087
199,0,303593,25,255.437562699,106.777284839,10,130392243579125847
200,0,303593,25,1437.99729444,148.900757147,10,130392243579125849
201,0,303593,25,842.985180723,812.70714957,10,130392243579125859
202,0,303593,25,1544.99424094,1009.15582299,10,130392243579125863
203,0,303593,25,862.073684939,1133.07298535,10,130392243579125865
204,0,303593,25,1664.30589453,1377.72862911,10,130392243579125869
205,0,303593,25,615.774358026,1662.63708399,10,130392243579125874
206,0,303593,25,1658.90994558,1767.22222969,10,130392243579125876
207,0,303593,25,301.679830281,2320.9572782,10,130392243579125880
208,0,303593,25,1890.78149054,2603.74439835,10,130392243579125884
209,0,303593,25,105.031429646,2742.90427203,10,130392243579125885
210,0,303593,25,1472.8971067,3033.92944826,10,130392243579125890
211,0,303593,25,1743.93921506,3045.96069701,10,130392243579125891
212,0,303593,25,71.7762101394,3097.43013939,10,130392243579125893
213,0,303593,25,835.932603006,3229.97583906,10,130392243579125895
214,0,303593,25,1195.00903781,3266.64087898,10,130392243579125896
215,0,303593,25,1823.09872244,3298.05800526,10,130392243579125897
216,0,303593,25,140.988253986,3678.01684607,10,130392243579125903
217,0,303593,25,1122.49590242,3722.92863534,10,130392243579125904
218,0,303601,25,225.814912455,98.684397753,10,130395679552962672
219,0,303601,25,1403.06188839,120.80032618,10,130395679552962673
220,0,303601,25,1516.43909008,1003.78027699,10,130395679552962686
221,0,303601,25,65.1802036606,1104.33569582,10,130395679552962689
222,0,303601,25,833.966665819,1123.72955095,10,130395679552962690
223,0,303601,25,1738.0307624,1121.59838067,10,130395679552962691
224,0,303601,25,946.939032402,1242.380248,10,130395679552962694
225,0,303601,25,1088.03760533,1301.20129008,10,130395679552962696
226,0,303601,25,1336.35339993,1581.76940353,10,130395679552962701
227,0,303601,25,1873.65148361,1588.08288485,10,130395679552962702
228,0,303601,25,584.127073084,1656.68823682,10,130395679552962703
229,0,303601,25,1900.57419337,1729.02633985,10,130395679552962705
230,0,303601,25,1631.44185425,1759.19937218,10,130395679552962706
231,0,303601,25,88.7228844838,1777.024061,10,130395679552962708
232,0,303601,25,1957.73546757,2173.758063,10,130395679552962711
233,0,303601,25,1308.73950446,2208.51391474,10,130395679552962712
234,0,303601,25,272.458757447,2314.01197155,10,130395679552962713
235,0,303601,25,1651.79344968,2437.37281197,10,130395679552962716
236,0,303601,25,1861.13793165,2595.25611405,10,130395679552962718
237,0,303601,25,73.7444537615,2715.92896487,10,130395679552962719
238,0,303601,25,1003.69440147,2799.76195568,10,130395679552962721
239,0,303601,25,1913.87059958,2960.39527181,10,130395679552962724
240,0,303601,25,1444.39771683,3025.64687859,10,130395679552962726
241,0,303601,25,1715.61912929,3038.77125296,10,130395679552962727
242,0,303601,25,42.5551426656,3091.82749572,10,130395679552962729
243,0,303601,25,795.938666651,3205.00145462,10,130395679552962731
244,0,303601,25,1744.47620688,3246.75136936,10,130395679552962732
245,0,303601,25,1168.9273619,3257.21826428,10,130395679552962733
246,0,303601,25,1795.82005797,3290.98584985,10,130395679552962735
247,0,303601,25,488.834491004,3363.11570942,10,130395679552962737
248,0,303601,25,104.921753704,3654.07568125,10,130395679552962741
249,0,303601,25,430.439405849,3695.83251218,10,130395679552962742
250,0,303601,25,406.644916523,3711.87645554,10,130395679552962743
251,0,303601,25,1094.15709419,3718.29102344,10,130395679552962744
252,0,303601,25,115.524903116,3951.63946895,10,130395679552962748
253,0,303589,25,251.642543586,106.686711734,10,130390525592207453
254,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
255,0,303589,25,838.104239313,811.068975809,10,130390525592207464
256,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
257,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
258,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
259,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
260,0,303589,25,1784.04127028,1581.10949377,10,130390525592207482
261,0,303589,25,1655.02055303,1766.97594867,10,130390525592207484
262,0,303589,25,1759.21863419,1887.16979656,10,130390525592207486
263,0,303589,25,453.053887086,2054.96679183,10,130390525592207488
264,0,303589,25,102.974339908,2752.84472969,10,130390525592207493
265,0,303589,25,1469.05457643,3032.99512353,10,130390525592207498
266,0,303589,25,1115.34032768,3048.61157883,10,130390525592207499
267,0,303589,25,837.907381817,3238.01831525,10,130390525592207502
268,0,303589,25,1519.02076676,3259.7780814,10,130390525592207503
269,0,303589,25,1816.97606522,3298.85815972,10,130390525592207504
270,0,303589,25,511.575578528,3368.47676861,10,130390525592207506
271,0,303589,25,140.938603128,3685.9387178,10,130390525592207511
272,0,303589,25,453.818350916,3701.68452434,10,130390525592207512
273,0,303589,25,142.044787483,3957.78954608,10,130390525592207516
274,0,303589,25,1467.13454689,4041.00316288,10,130390525592207518
275,0,303597,25,243.640709874,101.605169338,10,130393961566044255
276,0,303597,25,1422.33676526,133.171268578,10,130393961566044256
277,0,303597,25,1102.1687112,611.530561853,10,130393961566044264
278,0,303597,25,828.949161593,806.770186898,10,130393961566044267
279,0,303597,25,82.9669799378,1106.63683407,10,130393961566044273
280,0,303597,25,851.953737568,1127.21788154,10,130393961566044274
281,0,303597,25,1107.91078715,1303.73716364,10,130393961566044278
282,0,303597,25,1653.34705997,1371.40280681,10,130393961566044279
283,0,303597,25,104.17157047,1779.26978632,10,130393961566044286
284,0,303597,25,367.787313619,2422.05201443,10,130393961566044291
285,0,303597,25,91.794071715,2728.06836593,10,130393961566044293
286,0,303597,25,126.930313857,2800.30517868,10,130393961566044295
287,0,303597,25,1017.8409955,2802.04345048,10,130393961566044296
288,0,303597,25,1929.99118664,2963.24097051,10,130393961566044299
289,0,303597,25,1460.97889142,3029.0048768,10,130393961566044301
290,0,303597,25,1731.11887855,3040.37646532,10,130393961566044302
291,0,303597,25,1107.96023947,3042.57636176,10,130393961566044303
292,0,303597,25,59.2885338012,3093.52985506,10,130393961566044305
293,0,303597,25,818.012480891,3215.9389526,10,130393961566044307
294,0,303597,25,1185.14270439,3260.12890302,10,130393961566044308
295,0,303597,25,506.655419284,3365.72409328,10,130393961566044310
296,0,303597,25,125.02648802,3664.09862666,10,130393961566044315
297,0,303597,25,283.037734299,3720.08664878,10,130393961566044316
298,0,303597,25,1110.80200362,3720.47120785,10,130393961566044317
299,0,303585,25,1423.0782412,172.072091686,10,130388807605289036
300,0,303585,25,1100.11084022,1316.83274619,10,130388807605289054
301,0,303585,25,1882.58679383,1599.21886291,10,130388807605289059
302,0,303585,25,1871.07188957,2605.26026836,10,130388807605289067
303,0,303585,25,88.9338672706,2765.01730257,10,130388807605289068
304,0,303585,25,1724.908074,3048.89331264,10,130388807605289073
305,0,303585,25,827.90221599,3250.00219407,10,130388807605289076
306,0,303585,25,129.100252018,3697.00489396,10,130388807605289083
307,0,303585,25,122.342858199,3962.04204717,10,130388807605289087
308,0,303593,25,255.437562699,106.777284839,10,130392243579125847
309,0,303593,25,1437.99729444,148.900757147,10,130392243579125849
310,0,303593,25,842.985180723,812.70714957,10,130392243579125859
311,0,303593,25,1544.99424094,1009.15582299,10,130392243579125863
312,0,303593,25,862.073684939,1133.07298535,10,130392243579125865
313,0,303593,25,1664.30589453,1377.72862911,10,130392243579125869
314,0,303593,25,615.774358026,1662.63708399,10,130392243579125874
315,0,303593,25,1658.90994558,1767.22222969,10,130392243579125876
316,0,303593,25,301.679830281,2320.9572782,10,130392243579125880
317,0,303593,25,1890.78149054,2603.74439835,10,130392243579125884
318,0,303593,25,105.031429646,2742.90427203,10,130392243579125885
319,0,303593,25,1472.8971067,3033.92944826,10,130392243579125890
320,0,303593,25,1743.93921506,3045.96069701,10,130392243579125891
321,0,303593,25,71.7762101394,3097.43013939,10,130392243579125893
322,0,303593,25,835.932603006,3229.97583906,10,130392243579125895
323,0,303593,25,1195.00903781,3266.64087898,10,130392243579125896
324,0,303593,25,1823.09872244,3298.05800526,10,130392243579125897
325,0,303593,25,140.988253986,3678.01684607,10,130392243579125903
326,0,303593,25,1122.49590242,3722.92863534,10,130392243579125904
327,0,303589,25,251.642543586,106.686711734,10,130390525592207453
328,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
329,0,303589,25,838.104239313,811.068975809,10,130390525592207464
330,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
331,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
332,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
333,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
